,chromosome,start,end,strand,intron_motif,annotation,unique,multi,max_overhang,i,canonical_start,gene_id_start,canonical_end,gene_id_end,n_genes,gene_id,gene_name,intron_group,n_genes_per_intron_group,intron_group_size
13,11,3082328,3082886,-,2,1,1659,1,16,3585,1,ENSMUSG00000023764,1,ENSMUSG00000023764,1,ENSMUSG00000023764,Sfi1,Sfi1_11_3082328_-,1,2
14,11,3095323,3096161,-,2,1,749,30,24,3667,1,ENSMUSG00000023764,1,ENSMUSG00000023764,1,ENSMUSG00000023764,Sfi1,Sfi1_11_3095323_-,1,2
15,11,3095323,3103431,-,2,1,83,2,22,3668,1,ENSMUSG00000023764,1,ENSMUSG00000023764,1,ENSMUSG00000023764,Sfi1,Sfi1_11_3095323_-,1,2
16,11,3096293,3103431,-,2,1,462,21,17,3676,1,ENSMUSG00000023764,1,ENSMUSG00000023764,1,ENSMUSG00000023764,Sfi1,Sfi1_11_3096293_-,1,2
17,11,3096293,3114556,-,2,1,133,2,21,3678,1,ENSMUSG00000023764,1,ENSMUSG00000023764,1,ENSMUSG00000023764,Sfi1,Sfi1_11_3096293_-,1,2
18,11,3103499,3105398,-,2,1,446,1,17,3690,1,ENSMUSG00000023764,1,ENSMUSG00000023764,1,ENSMUSG00000023764,Sfi1,Sfi1_11_3103499_-,1,2
19,11,3103499,3114556,-,2,1,399,16,16,3692,1,ENSMUSG00000023764,1,ENSMUSG00000023764,1,ENSMUSG00000023764,Sfi1,Sfi1_11_3103499_-,1,2
20,11,3152798,3153629,+,1,1,329,0,12,3835,0,ENSMUSG00000020454,1,ENSMUSG00000020454,1,ENSMUSG00000020454,Eif4enif1,Eif4enif1_11_3153629_+,1,2
21,11,3152993,3153629,+,1,1,1268,0,20,3837,0,ENSMUSG00000020454,1,ENSMUSG00000020454,1,ENSMUSG00000020454,Eif4enif1,Eif4enif1_11_3153629_+,1,2
22,17,3165694,3195349,+,1,1,2533,17,25,3892,1,ENSMUSG00000046201,1,ENSMUSG00000046201,1,ENSMUSG00000046201,Scaf8,Scaf8_17_3195349_+,1,2
23,17,3172390,3195349,+,1,1,367,0,14,3935,0,ENSMUSG00000046201,1,ENSMUSG00000046201,1,ENSMUSG00000046201,Scaf8,Scaf8_17_3195349_+,1,2
24,2,3179501,3198313,+,1,1,74,0,12,3973,1,ENSMUSG00000050530,1,ENSMUSG00000050530,1,ENSMUSG00000050530,Fam171a1,Fam171a1_2_3198313_+,1,2
25,11,3180102,3184461,+,1,1,308,0,25,3979,1,ENSMUSG00000020454,1,ENSMUSG00000020454,1,ENSMUSG00000020454,Eif4enif1,Eif4enif1_11_3184461_+,1,2
26,11,3184060,3184461,+,1,1,829,1,16,3997,1,ENSMUSG00000020454,1,ENSMUSG00000020454,1,ENSMUSG00000020454,Eif4enif1,Eif4enif1_11_3184461_+,1,2
27,2,3187553,3198313,+,1,1,2104,5,12,4021,1,ENSMUSG00000050530,1,ENSMUSG00000050530,1,ENSMUSG00000050530,Fam171a1,Fam171a1_2_3198313_+,1,2
28,2,3198473,3221289,+,1,1,98,0,21,4099,1,ENSMUSG00000050530,1,ENSMUSG00000050530,1,ENSMUSG00000050530,Fam171a1,Fam171a1_2_3221289_+,1,2
29,11,3202812,3204364,-,2,0,193,0,25,4195,1,ENSMUSG00000020457,2,,1,ENSMUSG00000020457,Drg1,Drg1_11_3202812_-,1,2
30,11,3202812,3204511,-,2,1,15341,15,24,4196,1,ENSMUSG00000020457,1,ENSMUSG00000020457,1,ENSMUSG00000020457,Drg1,Drg1_11_3202812_-,1,2
31,2,3203759,3221289,+,1,1,1999,1,21,4210,1,ENSMUSG00000050530,1,ENSMUSG00000050530,1,ENSMUSG00000050530,Fam171a1,Fam171a1_2_3221289_+,1,2
32,2,3221407,3225854,+,1,1,504,3,18,4319,1,ENSMUSG00000050530,1,ENSMUSG00000050530,1,ENSMUSG00000050530,Fam171a1,Fam171a1_2_3225854_+,1,2
33,2,3224622,3225854,+,1,1,1371,93,18,4343,1,ENSMUSG00000050530,1,ENSMUSG00000050530,1,ENSMUSG00000050530,Fam171a1,Fam171a1_2_3225854_+,1,2
34,17,3248499,3308012,+,1,1,272,0,24,4490,0,ENSMUSG00000116858,0,ENSMUSG00000116858,1,ENSMUSG00000116858,Gm49797,Gm49797_17_3308012_+,1,2
35,11,3249206,3257647,+,1,1,450,0,6,4502,1,ENSMUSG00000020453,1,ENSMUSG00000020453,1,ENSMUSG00000020453,Patz1,Patz1_11_3257647_+,1,2
36,11,3256361,3257647,+,3,1,274,0,22,4534,1,ENSMUSG00000020453,1,ENSMUSG00000020453,1,ENSMUSG00000020453,Patz1,Patz1_11_3257647_+,1,2
37,18,3273579,3276693,-,2,1,1727,46,22,4621,1,ENSMUSG00000063889,1,ENSMUSG00000063889,1,ENSMUSG00000063889,Crem,Crem_18_3273579_-,1,3
38,18,3273579,3280948,-,2,1,1610,17,17,4622,1,ENSMUSG00000063889,0,ENSMUSG00000063889,1,ENSMUSG00000063889,Crem,Crem_18_3273579_-,1,3
39,18,3273579,3281687,-,2,1,1357,45,4,4623,1,ENSMUSG00000063889,0,ENSMUSG00000063889,1,ENSMUSG00000063889,Crem,Crem_18_3273579_-,1,3
40,18,3276730,3280948,-,2,1,733,5,20,4637,1,ENSMUSG00000063889,0,ENSMUSG00000063889,1,ENSMUSG00000063889,Crem,Crem_18_3276730_-,1,3
41,18,3276730,3281687,-,2,1,683,2,5,4638,1,ENSMUSG00000063889,0,ENSMUSG00000063889,1,ENSMUSG00000063889,Crem,Crem_18_3276730_-,1,3
42,18,3276730,3287903,-,2,1,80,0,6,4639,1,ENSMUSG00000063889,1,ENSMUSG00000063889,1,ENSMUSG00000063889,Crem,Crem_18_3276730_-,1,3
43,17,3281592,3308012,+,1,1,120,0,23,4664,1,ENSMUSG00000116858,0,ENSMUSG00000116858,1,ENSMUSG00000116858,Gm49797,Gm49797_17_3308012_+,1,2
44,11,3282229,3283208,+,1,1,2140,25,12,4670,1,ENSMUSG00000034614,1,ENSMUSG00000034614,1,ENSMUSG00000034614,Pik3ip1,Pik3ip1_11_3283208_+,1,2
45,11,3282250,3283208,+,1,1,214,0,20,4671,0,ENSMUSG00000034614,1,ENSMUSG00000034614,1,ENSMUSG00000034614,Pik3ip1,Pik3ip1_11_3283208_+,1,2
46,2,3285444,3305848,+,1,1,14576,9,17,4700,1,ENSMUSG00000026643,1,ENSMUSG00000026643,1,ENSMUSG00000026643,Nmt2,Nmt2_2_3305848_+,1,2
47,12,3285930,3287590,+,1,1,95,0,20,4722,1,ENSMUSG00000079179,1,ENSMUSG00000079179,1,ENSMUSG00000079179,Rab10os,Rab10os_12_3287590_+,1,2
48,12,3287413,3287590,+,1,1,4551,19,11,4743,1,ENSMUSG00000079179,1,ENSMUSG00000079179,1,ENSMUSG00000079179,Rab10os,Rab10os_12_3287590_+,1,2
49,12,3288113,3291521,+,1,1,248,4,10,4754,0,ENSMUSG00000079179,0,ENSMUSG00000079179,1,ENSMUSG00000079179,Rab10os,Rab10os_12_3291521_+,1,2
50,12,3289010,3291521,+,1,1,1450,1,24,4763,0,ENSMUSG00000079179,0,ENSMUSG00000079179,1,ENSMUSG00000079179,Rab10os,Rab10os_12_3291521_+,1,2
51,2,3290419,3305848,+,1,0,104,0,21,4822,2,,1,ENSMUSG00000026643,1,ENSMUSG00000026643,Nmt2,Nmt2_2_3305848_+,1,2
52,18,3295417,3299161,-,2,1,184,1,21,4877,1,ENSMUSG00000063889,1,ENSMUSG00000063889,1,ENSMUSG00000063889,Crem,Crem_18_3295417_-,1,2
53,18,3295417,3325360,-,2,1,245,11,21,4880,1,ENSMUSG00000063889,1,ENSMUSG00000063889,1,ENSMUSG00000063889,Crem,Crem_18_3295417_-,1,2
54,15,3300308,3304142,+,1,1,93,0,24,4967,0,ENSMUSG00000064373,1,ENSMUSG00000064373,1,ENSMUSG00000064373,Selenop,Selenop_15_3304142_+,1,3
55,15,3300535,3304142,+,1,1,13716,22,21,4976,1,ENSMUSG00000064373,1,ENSMUSG00000064373,1,ENSMUSG00000064373,Selenop,Selenop_15_3304142_+,1,3
56,15,3301650,3304142,+,1,1,185,0,19,4992,0,ENSMUSG00000064373,1,ENSMUSG00000064373,1,ENSMUSG00000064373,Selenop,Selenop_15_3304142_+,1,3
57,11,3302378,3302899,-,2,1,1403,1,18,4999,1,ENSMUSG00000020451,0,ENSMUSG00000020451,1,ENSMUSG00000020451,Limk2,Limk2_11_3302378_-,1,2
58,11,3302378,3303276,-,2,1,1565,6,9,5000,1,ENSMUSG00000020451,1,ENSMUSG00000020451,1,ENSMUSG00000020451,Limk2,Limk2_11_3302378_-,1,2
59,12,3303359,3306866,-,2,1,12196,18,24,5013,1,ENSMUSG00000020671,1,ENSMUSG00000020671,1,ENSMUSG00000020671,Rab10,Rab10_12_3303359_-,1,2
60,12,3303359,3314688,-,2,1,165,0,17,5014,1,ENSMUSG00000020671,1,ENSMUSG00000020671,1,ENSMUSG00000020671,Rab10,Rab10_12_3303359_-,1,2
61,2,3305985,3310503,+,1,1,579,0,12,5058,1,ENSMUSG00000026643,1,ENSMUSG00000026643,1,ENSMUSG00000026643,Nmt2,Nmt2_2_3310503_+,1,3
62,2,3306477,3310503,+,1,1,233,0,19,5071,1,ENSMUSG00000026643,1,ENSMUSG00000026643,1,ENSMUSG00000026643,Nmt2,Nmt2_2_3310503_+,1,3
63,2,3308070,3310503,+,1,1,192,0,21,5095,1,ENSMUSG00000026643,1,ENSMUSG00000026643,1,ENSMUSG00000026643,Nmt2,Nmt2_2_3310503_+,1,3
64,11,3310587,3311020,-,2,1,158,1,20,5132,1,ENSMUSG00000020451,0,ENSMUSG00000020451,1,ENSMUSG00000020451,Limk2,Limk2_11_3310587_-,1,3
65,11,3310587,3320968,-,2,1,11223,410,24,5136,1,ENSMUSG00000020451,0,ENSMUSG00000020451,1,ENSMUSG00000020451,Limk2,Limk2_11_3310587_-,1,3
66,11,3310587,3342916,-,2,1,1311,6,17,5138,1,ENSMUSG00000020451,1,ENSMUSG00000020451,1,ENSMUSG00000020451,Limk2,Limk2_11_3310587_-,1,3
67,19,3321701,3322887,-,2,1,390,7,24,5244,1,ENSMUSG00000024831,1,ENSMUSG00000024831,1,ENSMUSG00000024831,Ighmbp2,Ighmbp2_19_3321701_-,1,2
68,19,3321701,3324355,-,2,1,73,0,24,5245,1,ENSMUSG00000024831,1,ENSMUSG00000024831,1,ENSMUSG00000024831,Ighmbp2,Ighmbp2_19_3321701_-,1,2
69,2,3330911,3331395,-,2,0,96,0,24,5314,1,ENSMUSG00000049950,2,,1,ENSMUSG00000049950,Rpp38,Rpp38_2_3330911_-,1,2
70,2,3330911,3333563,-,2,1,2076,10,21,5320,1,ENSMUSG00000049950,1,ENSMUSG00000049950,1,ENSMUSG00000049950,Rpp38,Rpp38_2_3330911_-,1,2
71,19,3334818,3335309,+,1,1,9096,21,20,5352,1,ENSMUSG00000024829,1,ENSMUSG00000024829,1,ENSMUSG00000024829,Mrpl21,Mrpl21_19_3335309_+,1,2
72,19,3334834,3335309,+,1,1,1093,2,23,5356,0,ENSMUSG00000024829,1,ENSMUSG00000024829,1,ENSMUSG00000024829,Mrpl21,Mrpl21_19_3335309_+,1,2
73,9,3335251,3338455,+,1,1,100,6,24,5361,0,ENSMUSG00000025899,1,ENSMUSG00000025899,1,ENSMUSG00000025899,Alkbh8,Alkbh8_9_3338455_+,1,3
74,9,3335595,3338455,+,1,1,1020,1,24,5378,1,ENSMUSG00000025899,1,ENSMUSG00000025899,1,ENSMUSG00000025899,Alkbh8,Alkbh8_9_3338455_+,1,3
75,9,3335749,3338455,+,1,1,2940,4,16,5382,0,ENSMUSG00000025899,1,ENSMUSG00000025899,1,ENSMUSG00000025899,Alkbh8,Alkbh8_9_3338455_+,1,3
76,19,3337039,3338983,+,1,1,143,0,23,5391,1,ENSMUSG00000024829,1,ENSMUSG00000024829,1,ENSMUSG00000024829,Mrpl21,Mrpl21_19_3338983_+,1,2
77,19,3337756,3338983,+,1,1,12185,415,23,5402,1,ENSMUSG00000024829,1,ENSMUSG00000024829,1,ENSMUSG00000024829,Mrpl21,Mrpl21_19_3338983_+,1,2
78,7,3352854,3359079,+,1,1,238,1,13,5582,1,ENSMUSG00000078816,1,ENSMUSG00000078816,1,ENSMUSG00000078816,Prkcg,Prkcg_7_3359079_+,1,2
79,7,3353943,3359079,+,1,1,7285,41,21,5597,1,ENSMUSG00000078816,1,ENSMUSG00000078816,1,ENSMUSG00000078816,Prkcg,Prkcg_7_3359079_+,1,2
80,7,3353943,3359351,+,1,1,105,0,25,5598,1,ENSMUSG00000078816,1,ENSMUSG00000078816,1,ENSMUSG00000078816,Prkcg,Prkcg_7_3359351_+,1,2
81,7,3359192,3359351,+,1,1,9316,14,23,5624,1,ENSMUSG00000078816,1,ENSMUSG00000078816,1,ENSMUSG00000078816,Prkcg,Prkcg_7_3359351_+,1,2
82,7,3362349,3363027,+,1,1,944,0,22,5677,1,ENSMUSG00000078816,1,ENSMUSG00000078816,1,ENSMUSG00000078816,Prkcg,Prkcg_7_3363027_+,1,2
83,7,3362737,3363027,+,1,1,2968,1,19,5681,1,ENSMUSG00000078816,1,ENSMUSG00000078816,1,ENSMUSG00000078816,Prkcg,Prkcg_7_3363027_+,1,2
84,7,3363058,3368046,+,1,1,129,0,25,5689,1,ENSMUSG00000078816,1,ENSMUSG00000078816,1,ENSMUSG00000078816,Prkcg,Prkcg_7_3368046_+,1,2
85,18,3366097,3399845,+,1,0,116,0,25,5716,2,,1,ENSMUSG00000024231,1,ENSMUSG00000024231,Cul2,Cul2_18_3399845_+,1,4
86,7,3367529,3368046,+,1,1,4481,0,24,5724,1,ENSMUSG00000078816,1,ENSMUSG00000078816,1,ENSMUSG00000078816,Prkcg,Prkcg_7_3368046_+,1,2
87,11,3378903,3382399,-,2,1,2293,6,19,5847,1,ENSMUSG00000020448,1,ENSMUSG00000020448,1,ENSMUSG00000020448,Rnf185,Rnf185_11_3378903_-,1,2
88,11,3378903,3402208,-,2,1,115,3,17,5849,1,ENSMUSG00000020448,1,ENSMUSG00000020448,1,ENSMUSG00000020448,Rnf185,Rnf185_11_3378903_-,1,2
89,18,3383173,3399845,+,1,1,1964,12,23,5908,0,ENSMUSG00000024231,1,ENSMUSG00000024231,1,ENSMUSG00000024231,Cul2,Cul2_18_3399845_+,1,4
90,18,3383398,3399845,+,1,1,2563,5,25,5914,1,ENSMUSG00000024231,1,ENSMUSG00000024231,1,ENSMUSG00000024231,Cul2,Cul2_18_3399845_+,1,4
91,18,3383660,3399845,+,1,0,69,0,23,5922,2,,1,ENSMUSG00000024231,1,ENSMUSG00000024231,Cul2,Cul2_18_3399845_+,1,4
92,11,3402435,3406762,+,1,1,56,0,17,6049,0,ENSMUSG00000034587,1,ENSMUSG00000034587,1,ENSMUSG00000034587,8430429K09Rik,8430429K09Rik_11_3406762_+,1,3
93,11,3402571,3406762,+,1,1,118,0,11,6055,0,ENSMUSG00000034587,1,ENSMUSG00000034587,1,ENSMUSG00000034587,8430429K09Rik,8430429K09Rik_11_3406762_+,1,3
94,11,3402741,3406762,+,1,1,397,0,17,6060,1,ENSMUSG00000034587,1,ENSMUSG00000034587,1,ENSMUSG00000034587,8430429K09Rik,8430429K09Rik_11_3406762_+,1,3
95,9,3411429,3417868,+,1,0,99,0,25,6137,2,,1,ENSMUSG00000025898,1,ENSMUSG00000025898,Cwf19l2,Cwf19l2_9_3417868_+,1,2
96,9,3411452,3417868,+,1,1,1381,1,25,6144,1,ENSMUSG00000025898,1,ENSMUSG00000025898,1,ENSMUSG00000025898,Cwf19l2,Cwf19l2_9_3417868_+,1,2
97,2,3426453,3434783,+,1,1,122,1,25,6310,1,ENSMUSG00000026648,1,ENSMUSG00000026648,1,ENSMUSG00000026648,Dclre1c,Dclre1c_2_3434783_+,1,2
98,2,3430390,3434783,+,1,1,1610,1,16,6369,1,ENSMUSG00000026648,1,ENSMUSG00000026648,1,ENSMUSG00000026648,Dclre1c,Dclre1c_2_3434783_+,1,2
99,18,3431586,3434843,+,1,1,199,0,12,6392,1,ENSMUSG00000024231,1,ENSMUSG00000024231,1,ENSMUSG00000024231,Cul2,Cul2_18_3434843_+,1,2
100,18,3434111,3434843,+,1,1,5789,6,25,6401,1,ENSMUSG00000024231,1,ENSMUSG00000024231,1,ENSMUSG00000024231,Cul2,Cul2_18_3434843_+,1,2
101,2,3434844,3438025,+,1,1,436,0,25,6412,1,ENSMUSG00000026648,1,ENSMUSG00000026648,1,ENSMUSG00000026648,Dclre1c,Dclre1c_2_3438025_+,1,2
102,2,3437531,3438025,+,1,1,1026,0,25,6429,1,ENSMUSG00000026648,1,ENSMUSG00000026648,1,ENSMUSG00000026648,Dclre1c,Dclre1c_2_3438025_+,1,2
103,2,3438124,3438712,+,3,1,206,0,22,6442,0,ENSMUSG00000026648,1,ENSMUSG00000026648,1,ENSMUSG00000026648,Dclre1c,Dclre1c_2_3438712_+,1,2
104,2,3438128,3438712,+,1,1,1357,0,25,6445,1,ENSMUSG00000026648,1,ENSMUSG00000026648,1,ENSMUSG00000026648,Dclre1c,Dclre1c_2_3438712_+,1,2
105,2,3445293,3448110,+,1,1,1678,0,22,6595,1,ENSMUSG00000026648,1,ENSMUSG00000026648,1,ENSMUSG00000026648,Dclre1c,Dclre1c_2_3448110_+,1,2
106,2,3447299,3448110,+,1,0,184,0,22,6621,2,,1,ENSMUSG00000026648,1,ENSMUSG00000026648,Dclre1c,Dclre1c_2_3448110_+,1,2
107,12,3456712,3457643,-,2,1,519,37,21,6785,1,ENSMUSG00000071456,0,ENSMUSG00000071456,1,ENSMUSG00000071456,1110002L01Rik,1110002L01Rik_12_3456712_-,1,2
108,12,3456712,3457700,-,2,1,164,1,5,6786,1,ENSMUSG00000071456,1,ENSMUSG00000071456,1,ENSMUSG00000071456,1110002L01Rik,1110002L01Rik_12_3456712_-,1,2
109,2,3465964,3473538,-,2,1,235,0,22,6889,1,ENSMUSG00000026646,1,ENSMUSG00000026646,1,ENSMUSG00000026646,Suv39h2,Suv39h2_2_3465964_-,1,2
110,2,3465964,3475739,-,2,1,505,0,17,6891,1,ENSMUSG00000026646,1,ENSMUSG00000026646,1,ENSMUSG00000026646,Suv39h2,Suv39h2_2_3465964_-,1,2
111,11,3466297,3466841,+,1,1,335,0,23,6899,1,ENSMUSG00000075702,1,ENSMUSG00000075702,1,ENSMUSG00000075702,Selenom,Selenom_11_3466841_+,1,2
112,11,3466521,3466841,+,1,1,37117,30,24,6902,1,ENSMUSG00000075702,1,ENSMUSG00000075702,1,ENSMUSG00000075702,Selenom,Selenom_11_3466841_+,1,2
113,11,3476481,3477427,-,2,1,226,0,19,6978,1,ENSMUSG00000020439,0,ENSMUSG00000020439,1,ENSMUSG00000020439,Smtn,Smtn_11_3476481_-,1,2
114,11,3476481,3479439,-,2,1,200,0,19,6979,1,ENSMUSG00000020439,1,ENSMUSG00000020439,1,ENSMUSG00000020439,Smtn,Smtn_11_3476481_-,1,2
115,12,3477213,3492473,+,1,1,2974,0,7,6984,1,ENSMUSG00000037486,1,ENSMUSG00000037486,1,ENSMUSG00000037486,Asxl2,Asxl2_12_3492473_+,1,2
116,12,3477788,3492473,+,1,0,123,0,23,6994,2,,1,ENSMUSG00000037486,1,ENSMUSG00000037486,Asxl2,Asxl2_12_3492473_+,1,2
117,15,3487491,3611739,-,2,1,128,0,13,7068,1,ENSMUSG00000055737,0,ENSMUSG00000055737,1,ENSMUSG00000055737,Ghr,Ghr_15_3487491_-,1,2
118,15,3487491,3612481,-,2,1,619,0,25,7069,1,ENSMUSG00000055737,1,ENSMUSG00000055737,1,ENSMUSG00000055737,Ghr,Ghr_15_3487491_-,1,2
119,2,3490806,3491343,-,2,0,175,0,22,7098,1,ENSMUSG00000109865,2,,1,ENSMUSG00000109865,Hspa14,Hspa14_2_3490806_-,1,2
120,2,3490806,3491973,-,2,1,5374,12,24,7100,1,ENSMUSG00000109865,1,ENSMUSG00000109865,1,ENSMUSG00000109865,Hspa14,Hspa14_2_3490806_-,1,2
121,12,3501771,3507061,+,1,1,2749,1,15,7199,1,ENSMUSG00000037486,1,ENSMUSG00000037486,1,ENSMUSG00000037486,Asxl2,Asxl2_12_3507061_+,1,2
122,12,3501771,3519477,+,1,1,269,0,20,7202,1,ENSMUSG00000037486,1,ENSMUSG00000037486,1,ENSMUSG00000037486,Asxl2,Asxl2_12_3519477_+,1,3
123,2,3502176,3503530,-,2,1,4393,2,23,7207,1,ENSMUSG00000109865,1,ENSMUSG00000109865,1,ENSMUSG00000109865,Hspa14,Hspa14_2_3502176_-,1,2
124,2,3502176,3503773,-,2,1,113,0,23,7208,1,ENSMUSG00000109865,1,ENSMUSG00000109865,1,ENSMUSG00000109865,Hspa14,Hspa14_2_3502176_-,1,2
125,12,3505641,3507061,+,1,1,140,0,14,7261,0,ENSMUSG00000037486,1,ENSMUSG00000037486,1,ENSMUSG00000037486,Asxl2,Asxl2_12_3507061_+,1,2
126,12,3507210,3519477,+,1,1,2347,0,25,7274,1,ENSMUSG00000037486,1,ENSMUSG00000037486,1,ENSMUSG00000037486,Asxl2,Asxl2_12_3519477_+,1,3
127,19,3509481,3509746,-,2,1,1241,0,20,7292,1,ENSMUSG00000024908,0,ENSMUSG00000024908,1,ENSMUSG00000024908,Ppp6r3,Ppp6r3_19_3509481_-,1,2
128,19,3509481,3514544,-,2,1,433,0,14,7295,1,ENSMUSG00000024908,1,ENSMUSG00000024908,1,ENSMUSG00000024908,Ppp6r3,Ppp6r3_19_3509481_-,1,2
129,12,3519396,3519477,+,1,0,85,0,22,7360,2,,1,ENSMUSG00000037486,1,ENSMUSG00000037486,Asxl2,Asxl2_12_3519477_+,1,3
130,19,3523867,3528277,-,2,1,633,0,14,7412,1,ENSMUSG00000024908,1,ENSMUSG00000024908,1,ENSMUSG00000024908,Ppp6r3,Ppp6r3_19_3523867_-,1,2
131,19,3523867,3534830,-,2,1,456,0,25,7415,1,ENSMUSG00000024908,1,ENSMUSG00000024908,1,ENSMUSG00000024908,Ppp6r3,Ppp6r3_19_3523867_-,1,2
132,12,3524614,3534444,+,1,1,100,0,23,7435,1,ENSMUSG00000037486,1,ENSMUSG00000037486,1,ENSMUSG00000037486,Asxl2,Asxl2_12_3534444_+,1,3
133,12,3526170,3534444,+,1,1,796,0,21,7443,0,ENSMUSG00000037486,1,ENSMUSG00000037486,1,ENSMUSG00000037486,Asxl2,Asxl2_12_3534444_+,1,3
134,12,3527207,3534444,+,1,0,90,0,24,7451,2,,1,ENSMUSG00000037486,1,ENSMUSG00000037486,Asxl2,Asxl2_12_3534444_+,1,3
135,17,3527554,3553155,+,1,1,156,0,6,7456,1,ENSMUSG00000023800,1,ENSMUSG00000023800,1,ENSMUSG00000023800,Tiam2,Tiam2_17_3553155_+,1,3
136,13,3528353,3529908,+,1,1,855,15,16,7470,0,ENSMUSG00000097709,0,ENSMUSG00000097709,1,ENSMUSG00000097709,2810429I04Rik,2810429I04Rik_13_3529908_+,1,3
137,19,3528365,3528630,-,2,0,58,0,22,7472,1,ENSMUSG00000024908,2,,1,ENSMUSG00000024908,Ppp6r3,Ppp6r3_19_3528365_-,1,2
138,19,3528365,3534830,-,2,1,1086,2,20,7474,1,ENSMUSG00000024908,1,ENSMUSG00000024908,1,ENSMUSG00000024908,Ppp6r3,Ppp6r3_19_3528365_-,1,2
139,13,3528391,3529908,+,1,1,686,0,18,7478,0,ENSMUSG00000097709,0,ENSMUSG00000097709,1,ENSMUSG00000097709,2810429I04Rik,2810429I04Rik_13_3529908_+,1,3
140,13,3529575,3529908,+,1,1,125,0,25,7491,0,ENSMUSG00000097709,0,ENSMUSG00000097709,1,ENSMUSG00000097709,2810429I04Rik,2810429I04Rik_13_3529908_+,1,3
141,17,3532891,3553155,+,1,1,521,1,19,7522,0,ENSMUSG00000023800,1,ENSMUSG00000023800,1,ENSMUSG00000023800,Tiam2,Tiam2_17_3553155_+,1,3
142,17,3534365,3553155,+,1,1,105,1,19,7540,0,ENSMUSG00000023800,1,ENSMUSG00000023800,1,ENSMUSG00000023800,Tiam2,Tiam2_17_3553155_+,1,3
143,4,3551892,3554353,-,2,1,2840,1,23,7683,1,ENSMUSG00000028232,1,ENSMUSG00000028232,1,ENSMUSG00000028232,Tmem68,Tmem68_4_3551892_-,1,2
144,4,3551892,3560498,-,2,1,259,0,22,7684,1,ENSMUSG00000028232,1,ENSMUSG00000028232,1,ENSMUSG00000028232,Tmem68,Tmem68_4_3551892_-,1,2
145,19,3557356,3561928,-,2,1,2182,0,24,7737,1,ENSMUSG00000024908,1,ENSMUSG00000024908,1,ENSMUSG00000024908,Ppp6r3,Ppp6r3_19_3557356_-,1,2
146,19,3557356,3564653,-,2,1,85,0,15,7738,1,ENSMUSG00000024908,1,ENSMUSG00000024908,1,ENSMUSG00000024908,Ppp6r3,Ppp6r3_19_3557356_-,1,2
147,8,3560427,3560539,+,1,1,5690,0,20,7783,1,ENSMUSG00000004567,1,ENSMUSG00000004567,1,ENSMUSG00000004567,Mcoln1,Mcoln1_8_3560539_+,1,2
